unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount,RSI_14,MA,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
1502928000.0,2017-08-17,ETH/USDT,303.61,312.18,298.21,302.0,6155.32,1890017.53,N/A,N/A,N/A,N/A,N/A,N/A
1503014400.0,2017-08-18,ETH/USDT,302.0,311.79,283.94,293.96,9392.79,2815460.24,N/A,N/A,N/A,N/A,N/A,N/A
1503100800.0,2017-08-19,ETH/USDT,293.96,299.9,278.0,290.91,2140.08,618248.58,N/A,N/A,N/A,N/A,N/A,N/A
1503187200.0,2017-08-20,ETH/USDT,290.91,300.53,282.85,299.1,2469.49,730800.66,N/A,N/A,N/A,N/A,N/A,N/A
1503273600.0,2017-08-21,ETH/USDT,299.1,346.52,294.6,323.29,5134.54,1661944.36,N/A,N/A,N/A,N/A,N/A,N/A
1503360000.0,2017-08-22,ETH/USDT,323.29,330.41,144.21,309.8,7807.91,2408767.25,N/A,N/A,N/A,N/A,N/A,N/A
1503446400.0,2017-08-23,ETH/USDT,309.8,324.99,309.41,315.74,8532.37,2711275.03,N/A,N/A,N/A,N/A,N/A,N/A
1503532800.0,2017-08-24,ETH/USDT,315.74,328.04,314.01,323.42,6608.08,2113017.42,N/A,N/A,N/A,N/A,N/A,N/A
1503619200.0,2017-08-25,ETH/USDT,323.42,338.28,323.42,327.24,7026.71,2321556.04,N/A,N/A,N/A,N/A,N/A,N/A
1503705600.0,2017-08-26,ETH/USDT,327.24,335.44,323.41,330.79,4821.82,1583578.33,N/A,N/A,N/A,N/A,N/A,N/A
1503792000.0,2017-08-27,ETH/USDT,330.79,348.13,330.73,348.13,4580.62,1536125.51,N/A,N/A,N/A,N/A,N/A,N/A
1503878400.0,2017-08-28,ETH/USDT,348.13,351.0,331.95,346.0,4230.19,1447042.11,N/A,N/A,N/A,N/A,N/A,N/A
1503964800.0,2017-08-29,ETH/USDT,346.0,377.6,346.0,374.7,2900.75,1054485.89,N/A,N/A,N/A,N/A,N/A,N/A
1504051200.0,2017-08-30,ETH/USDT,374.7,393.71,362.05,385.93,4331.81,1636125.32,N/A,N/A,326.5007142857143,N/A,N/A,N/A
1504137600.0,2017-08-31,ETH/USDT,385.93,389.36,377.78,384.79,4375.31,1681160.72,N/A,84.35493861850541,332.4142857142857,N/A,N/A,N/A
1504224000.0,2017-09-01,ETH/USDT,384.79,394.39,383.18,388.46,4156.84,1618914.43,N/A,85.01262982447544,339.1642857142857,N/A,N/A,N/A
1504310400.0,2017-09-02,ETH/USDT,388.46,394.32,320.08,343.14,7919.71,2791543.78,N/A,54.52836347500465,342.89500000000004,N/A,N/A,N/A
1504396800.0,2017-09-03,ETH/USDT,343.14,367.28,320.08,341.77,5012.55,1718948.68,N/A,53.899162104883594,345.9428571428571,N/A,N/A,N/A
1504483200.0,2017-09-04,ETH/USDT,341.77,344.55,267.94,283.77,6366.69,1893325.25,N/A,35.31848960874301,343.12,N/A,N/A,N/A
1504569600.0,2017-09-05,ETH/USDT,283.77,321.52,235.55,312.09,7840.86,2253410.75,N/A,45.244159033900665,343.2835714285714,N/A,N/A,N/A
1504656000.0,2017-09-06,ETH/USDT,312.09,336.34,312.09,335.0,5243.66,1714528.14,N/A,51.70118658027472,344.65928571428566,N/A,N/A,N/A
1504742400.0,2017-09-07,ETH/USDT,335.0,342.5,320.17,334.49,2977.82,985179.06,N/A,51.5554372959525,345.45,N/A,N/A,N/A
1504828800.0,2017-09-08,ETH/USDT,334.49,335.1,272.0,302.99,4874.53,1481290.06,N/A,43.41463614078112,343.71785714285716,N/A,N/A,N/A
1504915200.0,2017-09-09,ETH/USDT,302.99,307.0,281.66,296.74,2713.25,805572.88,N/A,41.99763041127438,341.2857142857143,N/A,N/A,N/A
1505001600.0,2017-09-10,ETH/USDT,296.74,302.78,261.03,293.5,4060.25,1155244.93,N/A,41.24606354833697,337.38357142857143,N/A,N/A,N/A
1505088000.0,2017-09-11,ETH/USDT,293.5,304.98,285.21,297.3,4779.63,1421764.78,N/A,42.544725187532826,333.90500000000003,-10.143854688094223,N/A,N/A
1505174400.0,2017-09-12,ETH/USDT,297.3,316.46,286.01,293.96,5140.78,1562612.65,N/A,41.67283922188612,328.1378571428572,-11.166925915128616,N/A,N/A
1505260800.0,2017-09-13,ETH/USDT,293.96,294.5,257.05,276.91,6341.5,1730175.07,N/A,37.453285806953694,320.3507142857143,-13.201332991407696,N/A,N/A
1505347200.0,2017-09-14,ETH/USDT,276.91,283.77,215.0,215.21,12488.22,3082667.27,N/A,26.855903006547994,308.23785714285714,-19.566736450128815,N/A,N/A
1505433600.0,2017-09-15,ETH/USDT,215.21,270.93,192.0,253.0,14101.49,3291332.29,N/A,38.35989294363095,298.5621428571429,-21.316306265934486,N/A,N/A
1505520000.0,2017-09-16,ETH/USDT,253.0,271.81,235.51,249.31,10265.41,2621693.27,N/A,37.73578917509223,291.86,-22.738489953349927,N/A,N/A
1505606400.0,2017-09-17,ETH/USDT,249.31,264.39,239.02,257.55,4589.96,1143692.64,N/A,40.0802082317688,285.8442857142857,-22.936286404135785,N/A,N/A
1505692800.0,2017-09-18,ETH/USDT,257.55,306.22,257.11,294.57,4121.19,1181549.67,N/A,49.31397452875873,286.61571428571426,-19.87671055897789,N/A,N/A
1505779200.0,2017-09-19,ETH/USDT,294.57,300.0,277.41,284.0,1858.5,532540.71,N/A,47.0829933565707,284.6092857142857,-18.09628263973468,-0.42484643230222474,-17.671436207432457
